from,to,player,uuid,playtime_hours,deaths,mob_kills,player_kills,damage_dealt_hp,damage_taken_hp,distance_km,jumps,sessions_left,blocks_mined,items_crafted,items_used,items_picked_up,items_dropped,tools_broken,advancements,recipes_unlocked,chests_opened,villager_trades,villager_talks,animals_bred,beds_slept,enchantments,flowers_potted
2026-08-16,2026-08-17,Boi0331,334aec82-5f1c-4d18-98ac-d98222b49256,1.11,3,1,0,30,134.8,5.45,665,3,132,57,264,812,24,1,4,56,27,0,1,0,3,0,0
2026-08-16,2026-08-17,Kenshi_www,c14e0c8f-0a99-4969-8c5d-46a4d68ed187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-16,2026-08-17,Mitigli4,e4bc1710-6c8e-4b39-a304-9c3e6b4dbb32,5.95,10,1317,0,3054.7,804.6,30.73,5083,3,386,226,2255,1194,37,11,11,128,318,0,21,0,12,19,0
2026-08-16,2026-08-17,OCTBEE,990aeb07-e61d-4dd3-8156-13a2e8610db0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-16,2026-08-17,dekkaishi,adc8b5b2-7b2a-48eb-9823-4690d0ccada4,5.76,27,141,2,1485.5,1283.2,36.54,3648,4,1156,1653,2137,4722,356,9,9,114,181,48,27,5,12,0,0
2026-08-16,2026-08-17,detkent,3c75ef33-6b26-424f-a220-49062ca0120a,3.05,1,32,1,635.9,231.4,27.56,4915,4,288,7,819,1046,13,1,7,98,98,0,2,0,14,0,0
2026-08-16,2026-08-17,gaburichan,b9e1d79f-ba6c-4330-83f5-42b67295237c,3.46,2,122,0,762.3,294.3,35.77,6680,4,143,356,973,707,90,3,6,96,297,0,0,11,8,0,0
2026-08-16,2026-08-17,gottigoti,e435448d-f1d7-4245-825f-7c36154ed9c4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-16,2026-08-17,gurando0302,229bf00b-15ce-4f97-a0e6-691e7b311a27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-16,2026-08-17,kagyki,53880e45-5b8f-4f53-b6b3-341cca768b1f,4.4,46,46,0,1030.8,1807.1,34.43,3814,3,1540,5926,2268,12414,377,14,11,98,183,172,50,0,19,0,0
2026-08-16,2026-08-17,natch_1105,1cff829d-24b5-4e08-ba89-67c2e03a5a1d,6.67,34,62,1,670.1,1279.4,34.8,3908,4,765,779,1051,3327,161,4,10,124,207,8,3,0,11,0,0
2026-08-16,2026-08-17,nodoamenn,2c867e44-f404-418f-885e-66f79eda3475,7.63,4,828,1,1727.3,528.8,38.85,5988,5,1228,1097,3022,3825,254,3,8,149,857,0,0,1,19,8,0
2026-08-16,2026-08-17,panndasanngou,3d11d800-946e-4dfd-a439-621800a0f12a,0.37,0,23,0,216.2,13.1,3.18,546,1,338,12,390,378,6,1,0,1,12,0,9,0,0,0,0
2026-08-16,2026-08-17,sukmkms,96073485-c515-4c1d-a947-0d8e937b90f1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-16,2026-08-17,tibepianegt46,fda7763c-0217-41ab-af21-ded135c927c2,4.19,5,38,0,612.8,415.1,19.84,3180,3,1364,107,1028,1727,270,2,7,79,52,0,1,2,6,0,0
2026-08-17,2026-08-22T07:15:00+09:00,Boi0331,334aec82-5f1c-4d18-98ac-d98222b49256,12.54,7,96,0,974.5,549,77.78,10185,6,4708,4667,5812,8820,799,13,14,191,435,83,43,13,22,0,0
2026-08-17,2026-08-22T07:15:00+09:00,Kenshi_www,c14e0c8f-0a99-4969-8c5d-46a4d68ed187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-17,2026-08-22T07:15:00+09:00,Mitigli4,e4bc1710-6c8e-4b39-a304-9c3e6b4dbb32,6.27,2,4000,0,9769.8,281.1,74.74,13345,10,9162,2025,12977,10583,74,6,12,116,603,317,259,0,7,48,0
2026-08-17,2026-08-22T07:15:00+09:00,OCTBEE,990aeb07-e61d-4dd3-8156-13a2e8610db0,0,0,0,0,0,7,1.9,254,1,0,0,4,1,0,0,2,6,30,0,1,0,0,0,0
2026-08-17,2026-08-22T07:15:00+09:00,dekkaishi,adc8b5b2-7b2a-48eb-9823-4690d0ccada4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-17,2026-08-22T07:15:00+09:00,detkent,3c75ef33-6b26-424f-a220-49062ca0120a,3.36,0,493,0,5139.1,90.9,43.92,6751,4,3565,483,6003,10706,79,57,5,92,151,132,57,6,12,0,0
2026-08-17,2026-08-22T07:15:00+09:00,gaburichan,b9e1d79f-ba6c-4330-83f5-42b67295237c,0,0,0,0,0,27.6,9.09,1577,1,940,686,1147,1132,12,1,2,73,187,0,5,0,1,0,0
2026-08-17,2026-08-22T07:15:00+09:00,gottigoti,e435448d-f1d7-4245-825f-7c36154ed9c4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-17,2026-08-22T07:15:00+09:00,gurando0302,229bf00b-15ce-4f97-a0e6-691e7b311a27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-17,2026-08-22T07:15:00+09:00,kagyki,53880e45-5b8f-4f53-b6b3-341cca768b1f,14.55,4,2287,0,6856.9,820.3,94.51,9483,9,9605,15979,15203,19693,3803,19,7,230,573,384,103,2,25,22,0
2026-08-17,2026-08-22T07:15:00+09:00,natch_1105,1cff829d-24b5-4e08-ba89-67c2e03a5a1d,8.78,0,1107,0,2738.7,274.5,56.04,5325,7,6927,17463,9841,33045,685,74,5,188,892,486,117,53,27,2,0
2026-08-17,2026-08-22T07:15:00+09:00,nodoamenn,2c867e44-f404-418f-885e-66f79eda3475,14.12,0,5426,0,20437.7,431.8,59.57,13773,22,5850,5160,14602,10225,586,5,7,61,1838,275,131,10,17,22,0
2026-08-17,2026-08-22T07:15:00+09:00,panndasanngou,3d11d800-946e-4dfd-a439-621800a0f12a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-17,2026-08-22T07:15:00+09:00,sukmkms,96073485-c515-4c1d-a947-0d8e937b90f1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-17,2026-08-22T07:15:00+09:00,tibepianegt46,fda7763c-0217-41ab-af21-ded135c927c2,11.05,58,539,0,2049.8,2596.4,129.6,18230,12,4936,5651,8787,12167,164,42,6,161,989,91,45,7,14,2,0
2026-08-22T07:15:00+09:00,2026-08-23,Boi0331,334aec82-5f1c-4d18-98ac-d98222b49256,1.14,1,14,0,165.5,145.8,9.03,1239,1,935,508,1263,1276,160,1,2,26,29,18,2,0,0,0,0
2026-08-22T07:15:00+09:00,2026-08-23,Kenshi_www,c14e0c8f-0a99-4969-8c5d-46a4d68ed187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-22T07:15:00+09:00,2026-08-23,Mitigli4,e4bc1710-6c8e-4b39-a304-9c3e6b4dbb32,3.41,0,132,0,705.3,132.6,9.11,1230,1,192,40,1160,282,67,1,0,11,25,0,0,0,1,0,0
2026-08-22T07:15:00+09:00,2026-08-23,OCTBEE,990aeb07-e61d-4dd3-8156-13a2e8610db0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-22T07:15:00+09:00,2026-08-23,dekkaishi,adc8b5b2-7b2a-48eb-9823-4690d0ccada4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-22T07:15:00+09:00,2026-08-23,detkent,3c75ef33-6b26-424f-a220-49062ca0120a,6.22,7,1940,0,14500.3,449.7,51.84,9940,4,1081,189,4261,5622,210,16,11,57,275,159,51,0,14,14,0
2026-08-22T07:15:00+09:00,2026-08-23,gaburichan,b9e1d79f-ba6c-4330-83f5-42b67295237c,1.65,0,1,0,40.3,58.8,11.01,2333,1,4,0,104,63,0,0,0,3,8,0,0,0,0,0,0
2026-08-22T07:15:00+09:00,2026-08-23,gottigoti,e435448d-f1d7-4245-825f-7c36154ed9c4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-22T07:15:00+09:00,2026-08-23,gurando0302,229bf00b-15ce-4f97-a0e6-691e7b311a27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-22T07:15:00+09:00,2026-08-23,kagyki,53880e45-5b8f-4f53-b6b3-341cca768b1f,4.93,8,3295,0,16324.8,661,36.3,2418,2,1878,116,4997,2783,2753,0,6,87,296,67,20,0,10,56,0
2026-08-22T07:15:00+09:00,2026-08-23,natch_1105,1cff829d-24b5-4e08-ba89-67c2e03a5a1d,9.58,3,3191,0,5140.7,508.7,33.41,2653,2,764,1600,3008,4595,89,6,6,84,616,45,11,2,14,140,0
2026-08-22T07:15:00+09:00,2026-08-23,nodoamenn,2c867e44-f404-418f-885e-66f79eda3475,8.04,0,1994,1,7606.9,417.4,61.49,7604,5,4082,5481,8846,6332,353,0,6,45,572,85,30,10,17,0,0
2026-08-22T07:15:00+09:00,2026-08-23,panndasanngou,3d11d800-946e-4dfd-a439-621800a0f12a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-22T07:15:00+09:00,2026-08-23,sukmkms,96073485-c515-4c1d-a947-0d8e937b90f1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-22T07:15:00+09:00,2026-08-23,tibepianegt46,fda7763c-0217-41ab-af21-ded135c927c2,9.33,14,1271,0,1888.8,1010.5,35.01,4246,6,1124,148,3253,1570,199,5,8,54,277,0,0,1,9,7,0
2026-08-23,2026-08-24,Boi0331,334aec82-5f1c-4d18-98ac-d98222b49256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-23,2026-08-24,Kenshi_www,c14e0c8f-0a99-4969-8c5d-46a4d68ed187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-23,2026-08-24,Mitigli4,e4bc1710-6c8e-4b39-a304-9c3e6b4dbb32,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-23,2026-08-24,OCTBEE,990aeb07-e61d-4dd3-8156-13a2e8610db0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-23,2026-08-24,dekkaishi,adc8b5b2-7b2a-48eb-9823-4690d0ccada4,5.44,12,682,0,2971,1000.6,43.72,2807,2,1447,4164,2858,6895,63,13,4,121,197,113,29,17,12,8,0
2026-08-23,2026-08-24,detkent,3c75ef33-6b26-424f-a220-49062ca0120a,9.4,0,1172,0,10387.9,282.4,41.03,5914,5,926,302,3197,3152,680,4,5,53,308,192,74,0,6,3,0
2026-08-23,2026-08-24,gaburichan,b9e1d79f-ba6c-4330-83f5-42b67295237c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-23,2026-08-24,gottigoti,e435448d-f1d7-4245-825f-7c36154ed9c4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-23,2026-08-24,gurando0302,229bf00b-15ce-4f97-a0e6-691e7b311a27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-23,2026-08-24,kagyki,53880e45-5b8f-4f53-b6b3-341cca768b1f,7.11,4,1451,0,8058.6,588.7,33.55,2486,4,22255,2309,25140,12375,7415,1,5,32,216,78,18,0,7,9,0
2026-08-23,2026-08-24,natch_1105,1cff829d-24b5-4e08-ba89-67c2e03a5a1d,9.14,6,1084,0,3995.5,646.9,40.96,2958,6,3536,8588,5477,19098,281,4,1,55,619,263,36,13,20,0,0
2026-08-23,2026-08-24,nodoamenn,2c867e44-f404-418f-885e-66f79eda3475,7.73,0,1298,0,2924.7,284.1,36.42,3761,11,7894,1539,10934,9631,587,1,6,72,337,126,40,29,22,3,0
2026-08-23,2026-08-24,panndasanngou,3d11d800-946e-4dfd-a439-621800a0f12a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-23,2026-08-24,sukmkms,96073485-c515-4c1d-a947-0d8e937b90f1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-23,2026-08-24,tibepianegt46,fda7763c-0217-41ab-af21-ded135c927c2,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-24,2026-08-30,Boi0331,334aec82-5f1c-4d18-98ac-d98222b49256,6.12,0,18,0,215.2,83.2,31.15,2128,4,9313,283,13281,7331,118,5,3,23,107,0,0,0,4,0,0
2026-08-24,2026-08-30,Kenshi_www,c14e0c8f-0a99-4969-8c5d-46a4d68ed187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-24,2026-08-30,Mitigli4,e4bc1710-6c8e-4b39-a304-9c3e6b4dbb32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-24,2026-08-30,OCTBEE,990aeb07-e61d-4dd3-8156-13a2e8610db0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-24,2026-08-30,dekkaishi,adc8b5b2-7b2a-48eb-9823-4690d0ccada4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-24,2026-08-30,detkent,3c75ef33-6b26-424f-a220-49062ca0120a,7.2,2,1750,0,9200,738.3,57.72,6882,11,3231,511,5962,6965,354,0,11,128,448,186,91,1,22,6,0
2026-08-24,2026-08-30,gaburichan,b9e1d79f-ba6c-4330-83f5-42b67295237c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-24,2026-08-30,gottigoti,e435448d-f1d7-4245-825f-7c36154ed9c4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-24,2026-08-30,gurando0302,229bf00b-15ce-4f97-a0e6-691e7b311a27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-24,2026-08-30,kagyki,53880e45-5b8f-4f53-b6b3-341cca768b1f,0.91,0,105,0,849.7,0.9,0.53,28,1,1,2,125,271,3081,0,0,0,7,0,0,0,1,0,0
2026-08-24,2026-08-30,natch_1105,1cff829d-24b5-4e08-ba89-67c2e03a5a1d,2.62,4,201,0,645.5,449.4,13.1,1192,3,579,2085,1234,4081,30,1,2,44,184,58,8,3,9,0,0
2026-08-24,2026-08-30,nodoamenn,2c867e44-f404-418f-885e-66f79eda3475,6.12,1,123,0,871.2,193.4,21.12,2394,10,973,1178,1564,2176,55,0,0,38,86,0,0,11,13,0,0
2026-08-24,2026-08-30,panndasanngou,3d11d800-946e-4dfd-a439-621800a0f12a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-24,2026-08-30,sukmkms,96073485-c515-4c1d-a947-0d8e937b90f1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-08-24,2026-08-30,tibepianegt46,fda7763c-0217-41ab-af21-ded135c927c2,3.53,25,7,0,152.4,660.4,24.16,3604,3,1164,647,1837,1542,42,4,0,1,237,0,0,22,5,0,0
